2026-04-06 17:19:44 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:19:44 | INFO     | src.data.preprocessing |   ✓ 3,042 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:19:44 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 2,223 rows | Test: 819 rows
2026-04-06 17:22:03 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:22:03 | INFO     | src.data.preprocessing |   ✓ 3,042 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:22:03 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 2,223 rows | Test: 819 rows
2026-04-06 17:24:21 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:24:21 | INFO     | src.data.preprocessing |   ✓ 4,191 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:24:21 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 3,372 rows | Test: 819 rows
2026-04-06 17:26:37 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:26:37 | INFO     | src.data.preprocessing |   ✓ 3,042 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:26:37 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 2,223 rows | Test: 819 rows
2026-04-06 17:28:53 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:28:53 | INFO     | src.data.preprocessing |   ✓ 2,027 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:28:53 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 1,208 rows | Test: 819 rows
2026-04-06 17:31:19 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:31:19 | INFO     | src.data.preprocessing |   ✓ 3,042 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:31:19 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 2,223 rows | Test: 819 rows
2026-04-06 17:33:44 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:33:44 | INFO     | src.data.preprocessing |   ✓ 4,191 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:33:44 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 3,372 rows | Test: 819 rows
2026-04-06 17:36:11 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:36:11 | INFO     | src.data.preprocessing |   ✓ 2,159 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:36:11 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 1,340 rows | Test: 819 rows
2026-04-06 17:38:37 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:38:37 | INFO     | src.data.preprocessing |   ✓ 3,042 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:38:37 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 2,223 rows | Test: 819 rows
